McFarlane figures (2020–present),,,
,,,
Standard figures,,,
Q3 2021,Batman (Terry McGinnis),"Batarang, alternate hands, 2 jet exhaust pieces, flight stand and toy photo card",Digitized Damage variant (Chase - Platinum Edition)
Q3 2021,King Shazam,Photo card,Year of the Villain: The Infected version
Q3 2021,Wonder Woman,"Sword, shield, display stand and toy photo card",Original design by Todd McFarlane
Q3 2021,The Demon,Photo card,Demon Knights version
Q3 2021,Armored Batman,"2 extra hands, display stand, and toy photo card",The Dark Knight Returns version
Q3 2021,Armored Batman,"2 extra hands, display stand, and toy photo card","The Dark Knight Returns version Blue Edition, variant with blue armor and yellow belt Physical store only release"
Q3 2021,Doctor Fate,Flight stand and toy photo card,Injustice 2 version
Q3 2021,Doctor Fate,Flight stand and toy photo card,Injustice 2 blue version (Chase - Platinum Edition)
Q4 2021,Reverse-Flash,"Display stand, and toy photo card",DC Rebirth version Redeco of The Flash with a new head
Q4 2021,Lobo,"Chained hook, display stand, and toy photo card",DC Rebirth version
Q4 2021,Lobo,"Chained hook, display stand, and artist proof toy photo card",DC Rebirth version Artists Proof (Chase - Platinum Edition)
Q4 2021,Superboy-Prime,"Flight stand, and toy photo card",Dark Nights: Death Metal version
Q4 2021,Batman (Hazmat Suit),Display stand and toy photo card,Justice League Rebirth
Q4 2021,Red Hood (Jason Todd),"Alternate 'finger guns' hands, display stand, and toy photo card",Gotham Knights version
Q4 2021,Red Hood (Jason Todd),"Alternate 'finger guns' hands, display stand, and artist proof toy photo card",Gotham Knights version Artists Proof (Chase - Platinum Edition)
Q4 2021,Batgirl (Barbara Gordon),"Night stick, display stand and toy photo card",Gotham Knights version
Q4 2021,Batgirl (Barbara Gordon),"Night stick, display stand and artist proof toy photo card",Gotham Knights version Artists Proof (Chase - Platinum Edition)
Q4 2021,Robin (Tim Drake),"Staff, display stand and toy photo card",Gotham Knights version
Q4 2021,Nightwing,"2 Escrima sticks, display stand, and toy photo card",Gotham Knights version
Q4 2021,Superman,Display stand and toy photo card,DC Rebirth version Redeco of Bizzaro DC Rebirth with alternate head and chest plate
Q4 2021,Superman,Display stand and artist proof toy photo card,DC Rebirth version Artist Proof (Chase - Platinum Edition)
Q4 2021,Harley Quinn,"Hammer, egg sandwich, display stand and toy photo card",Birds of Prey version
Q4 2021,The Flash (Wally West),"Alternate hands, electricity effect piece, display stand and toy photo card",Superman: The Animated Series version
Q4 2021,Superman (Black Suit),"Crushed steel beam, alternate hands, display stand and toy photo card",Superman: The Animated Series version Redeco of original Superman: The Animated Series version
Q4 2021,Lex Luthor (Power Suit),"Alternate hands, display stand and toy photo card",New 52 Green Version
Q4 2021,Lex Luthor (Power Suit),"Throne, display stand, and toy photo card",Justice League: The Darkseid War Blue version
Q4 2021,Batgirl,"Batarang, grappling gun, display stand and toy photo card",Three Jokers version
Q4 2021,Red Hood,"Crowbar, display stand and toy photo card",Three Jokers version
Q4 2021,Batman,"Grappling gun, display stand and toy photo card",Three Jokers version
Q4 2021,The Joker (The Clown),"Crowbar, fish, display stand and toy photo card",Three Jokers version
Q4 2021,The Joker (The Criminal),"Cane, display stand and toy photo card",Three Jokers version
Q4 2021,Batwoman (Elainna Grayson),"Batarang, 2 jet exhaust pieces, alternate hands, display stand and toy photo card",Batman Beyond version Unmasked version
Q4 2021,Shriek,"2 sonic blast effect pieces, display stand and toy photo card",Batman Beyond version Unmasked version
Q4 2021,Inque as Batman Beyond,"Batarang, 2 alternate hands, flight stand and toy photo card",Batman Beyond version Blue Redeco of Batman Beyond mouth version
Q4 2021,Blight,"2 effects, display stand and toy photo card","Batman Beyond version Unmasked ""Meltdown"" version"
Q1 2022,Batman,"Grapple gun, display stand, and toy photo card",The Batman version
Q1 2022,Batman,"Grapple gun, display stand, and toy photo card",The Batman version Unmasked version
Q1 2022,Riddler,"Ice picker, display stand, and toy photo card",The Batman version
Q1 2022,Catwoman,"Whip, display stand, and toy photo card",The Batman version
Q1 2022,Catwoman,"Whip, display stand, and toy photo card",The Batman version Unmasked version
Q1 2022,Bruce Wayne (Drifter),"Backpack, display stand, and toy photo card",The Batman version
Q1 2022,Bruce Wayne (Drifter),"Backpack, display stand, and toy photo card",The Batman version Unmasked version (Target Exclusive)
Q1 2022,Penguin,"Display stand, and toy photo card",The Batman version
Q1 2022,Batman (Jace Fox),"Batarang, 2 alternate hands, display stand, and toy photo card",Future State version
Q1 2022,Aquaman,"Trident, display stand, and toy photo card",Endless Winter version
Q1 2022,Martian Manhunter,"Display stand, and toy photo card",DC Rebirth version
Q1 2022,General Zod,"4 Alternate hands, display stand, and toy photo card",DC Rebirth version
Q1 2022,General Zod,"4 Alternate hands, display stand, and artist proof toy photo card",DC Rebirth version Artist Proof (Chase - Platinum Edition)
Q1 2022,Batman Dark Detective,"Grapple hook, display stand, and toy photo card",Future State version
Q1 2022,Superman (Solar Suit),"Alternate hands, display stand, and toy photo card",Superman: Lois and Clark version Redeco of Superman DC Rebirth with alternate head and chest plate
Q1 2022,Ghost-Maker,"Two swords, display stand, and toy photo card",Future State version
Q1 2022,Ghost-Maker,"Two swords, display stand, and artist proof toy photo card",Future State version Artist Proof (Chase - Platinum Edition)
Q1 2022,Godspeed,"2 lightning effects, display stand, and toy photo card",DC Rebirth
Q1 2022,Green Arrow,"Bow, arrow bundle, quiver, display stand, and toy photo card",Injustice 2 version
Q1 2022,Green Arrow,"Bow, arrows, quiver, display stand, and artist proof toy photo card",Injustice 2 version Artist Proof (Chase - Platinum Edition)
Q1 2022,The Arkham Knight,"Grapple gun, 2 smoke grenades, display stand, and toy photo card",Batman: Arkham Knight version
Q2 2022,Black Adam,"2 Lightning effects, display stand, and Dwayne Johnson photo card",Black Adam version
Q2 2022,Black Adam,"Cloak, display stand, and Kaare Andrews art card",Black Adam version
Q2 2022,Dr. Fate,"Flight stand, display stand, and Kaare Andrews art card",Black Adam version
Q2 2022,Cyclone,"Cyclone effect, display stand, and Kaare Andrews art card",Black Adam version
Q2 2022,Atom Smasher,"2 alternate hands, display stand, and Kaare Andrews art card",Black Adam version
Q2 2022,Hawkman,"Mace, Wings, display stand, and Kaare Andrews art card",Black Adam version
Q2 2022,Robin (Damian Wayne),"Sword, display stand, and toy photo card",Infinite Frontier version
Q2 2022,Batman,"Batarang, grapple gun, display stand, and toy photo card",DC Rebirth version
Q2 2022,Nega Cyborg,"Alternate sonic cannon arm, display stand and toy photo card",Teen Titans version
Q2 2022,Grifter,"Sword, knife, display stand, and toy photo card",Infinite Frontier version
Q2 2022,The Flash (Barry Allen),"3 lightning effects, display stand, and toy photo card",The Flash version
Q2 2022,The Flash (Barry Allen),"3 lightning effects, display stand, and artist proof toy photo card",The Flash version Artist Proof (Chase - Platinum Edition)
Q2 2022,Superman (Jonathan Kent),"2 alternate hands, flight stand, and toy photo card",Future State version
Q2 2022,Hush,"Two knives, display stand, and toy photo card",Batman: Hush version
Q2 2022,Hush,"Two knives, display stand, and artist proof toy photo card",Batman: Hush version Artist Proof (Chase - Platinum Edition)
Q2 2022,Red Robin (Tim Drake),"Staff, display stand and toy photo card",The New 52 version
Q2 2022,Batman (Duke Thomas),"Axe, display stand, and toy photo card",Tales from the Dark Multiverse version
Q2 2022,The Batman Who Laughs as Batman,"Batarang, display stand, and toy photo card",Dark Nights: Metal version
Q2 2022,Reverse-Flash,"3 Speed Force effect pieces, photo card and display stand",Injustice 2 version
Q2 2022,Q3 2022,,
Static,Q3 2022,"2 electricity effect pieces, effect stand, display stand, and Joe Bennett and Jack Jadson art card",The New 52 version
Scarecrow,Q3 2022,Display stand and art card,Infinite Frontier version
Scarecrow,Q3 2022,Display stand and CGI art card,Batman: Arkham Knight version
Red Hood,Q3 2022,"2 alternate hands, 2 effects, display stand, and CGI art card",Batman: Arkham Knight version
The Joker,Q3 2022,"Knife, sword, display stand, and CGI art card",Batman: Arkham City version
Superman,Q3 2022,"Axe, shield, photo card, and display stand",Future State version
Talon,Q3 2022,"Two swords, 2 knives, sheath, art card, and display stand",Court of Owls version
Deathstroke,Q3 2022,"Knife, sword, display stand, and Tony S. Daniel, Sandu Florea, and Tomeu Morey art card",DC Rebirth version
Batman (Superman),Q3 2022,"2 alternate hands, flight stand, and toy photo card",Superman: Speeding Bullets version
Batrocitus,Q3 2022,"2 alternate hands, lantern, display stand, and toy photo card",Dark Nights: Metal version
Black Adam,Q3 2022,"Throne, display stand, and Kaare Andrews art card",Same as Black Adam version
Q1 2023,Batman,"2 Batarangs, 2 alternate hands, display stand, and Jim Lee art card",Batman: Hush version Blue Redeco of the Three Jokers Batman with a new head sculpt and emblem
Q1 2023,The Signal,"Eskrima sticks, display stand, and art card",DC Rebirth version
Q1 2023,The Joker,"Knife, display stand, and Jorge Jimenez art card",Infinite Frontier version
Q1 2023,Mr. Freeze,"Freeze ray, display stand, and Jason Fabok art card",
Q1 2023,Superboy,Display stand and Dan Jurgens art card,Young Justice version Retool of Superman (Jonathan Kent) Future State version
Q1 2023,Catwoman,"2 alternate hands, Whip, display stand, and Jim Balent art card",Batman: Knightfall version
Q1 2023,Shazam,"2 alternate hands, 2 lightning effects, display stand, and art card",Shazam! Fury of the Gods version
Q1 2023,Earth-2 Batman (Thomas Wayne),"Batarang, display stand, and Barry Kitson art card",Batman: Arkham Knight version
Q1 2023,Gladiator Batman,"Axe, display stand, and Greg Capullo and Jonathan Glapion art card",Dark Nights: Metal version
Q1 2023,Batman,"Wings, display stand, and Alex Ross art card",Kingdom Come version
Q1 2023,Flash (Jay Garrick),"2 alternate hands, 4 speed force effects, display stand, and art card",DC Classic version
Q1 2023,The Riddler,"Staff, display stand, and CGI card",Batman: Arkham City version
Q2 2023,Wonder Woman,"Lasso of Truth, bundled lasso, removable tiara, display stand, and art card",Shazam!: Fury of the Gods version Retool and redeco of the 1984 Wonder Woman figure with a new head
Q2 2023,The Flash,"4 lightning effect pieces, display stand, and art card",The Flash version
Q2 2023,Batman (1989),"Batarang, alternate hands, grappling hook gun, display stand, and art card",The Flash version
Q2 2023,Supergirl,"Alternate hands, flight stand, and art card",The Flash version
Q2 2023,The Flash (Batman Suit),"4 lightning effect pieces, display stand, and art card",The Flash version
Q2 2023,Dark Flash,Display stand and art card,The Flash version
Q2 2023,Batman (DCEU),"Alternate hands, display stand, and art card",The Flash version
Q2 2023,Batman,"Batarang, 2 alternate hands, display stand and art card",Batman: Knightfall version
Q2 2023,Batwing,"3 jet exhaust effect pieces, display stand, and art card",The New 52 version
Q2 2023,Batman (Two-Face),"4 alternate hands, display stand, and Tony Daniel art card",Batman: Battle for the Cowl version
Q3 2023,Blue Beetle (Jaime Reyes),"Sword, attachable backpack, 2 ring blades, display stand and art card",Blue Beetle version
Q3 2023,Battle Mode Blue Beetle,"Attachable wings, 4 alternate hands, display stand and art card",Blue Beetle version Retool of the standard Blue Beetle figure with alternate accessories
Q3 2023,Superman,Display stand and Jim Lee art card,Batman: Hush version
Q3 2023,Robin (Tim Drake),"Bo staff, batarang, display stand, and Brian Bolland art card","DC Classic version Retool and Redeco of the One Year Later Robin with a new head, belt and cape"
Q3 2023,Riddler,"Staff, 6 alternate hands, display stand, and Gil Kane and Murphy Anderson art card",DC Classic version
Q3 2023,Batman,Display stand and Jim Lee art card,Batman: Hush version Black and gray Redeco of the previous Hush Batman
Q4 2023,Batman (James Gordon),"Alternate unmasked head, 6 alternate hands, grapple gun, display stand and Greg Capullo and Danny Miki art card",Batman: Endgame version
Q4 2023,Batman,"Sword, display stand and Kael Ngu art card",Dark Knights of Steel version
Q4 2023,Brainiac,"4 tendrils, display stand and CGI art card",Injustice 2 version
Q4 2023,Superman,"Alternate hands, display stand and Jheremy Raapack art card",Injustice 2 version
Q4 2023,Aquaman,"2 alternate hands, trident, display stand and art card",Aquaman and the Lost Kingdom version
Q4 2023,Aquaman (Stealth Suit),"Trident, display stand and art card",Aquaman and the Lost Kingdom version
Q4 2023,King Kordax,"Trident, display stand and art card",Aquaman and the Lost Kingdom version
Q4 2023,Black Manta,"2 flame effects, flight stand and art card",Aquaman and the Lost Kingdom version
Q4 2023,Steel,"Hammer, display stand, and Jon Bogdanove and Josh Myers art card",Reign of the Supermen version
Q4 2023,Superman,"4 alternate hands, flight stand, and Michael Cho art card",DC Classic version
Q4 2023,Nightwing,"4 alternate hands, display stand, and Brian Stelfreeze art card",Batman: Knightfall version
Q1 2024,Batman,"2 alternate hands, 2 batarangs, grapple launcher, display stand and photo card",Batman v Superman: Dawn of Justice version
Q1 2024,Batman (Sky Dive),"Backpack, sticky charge, charge launcher, display stand and art card",Unmasked The Dark Knight version
Q2 2024,Batman (Jean-Paul Valley),"6 fins, display stand and Dennis O'Neil and Digital Chameleon art card",Knightsend version
Q2 2024,Earth-2 Batman,"4 alternate hands, pipe wrench, display stand and Bob Kane art card",First appearance version
Q2 2024,Batman,"2 alternate hands, batarang, display stand and black & grey Kelley Jones art card",Knightfall version Black Redeco of the previous Knightfall Batman
Q3 2024,Robin (Tim Drake),"8 alternate hands, display stand and Dan Mora art card",Infinite Frontier version
Q3 2024,Mr. Freeze,Display stand and Sweeney Boo art card,Redeco of the initial Mr. Freeze
Q3 2024,Booster Gold,Flight stand and art card,New 52 version
Q3 2024,Ambush Bug,"Cheeks the Toy Wonder, display stand and art card",DC Classic version
Q3 2024,Batman,"Batarang, Bat-Radio, 4 alternate hands, display stand and Adam West photo card",Batman version
